AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
50-54,M,former,over,no,0.20338777
50-54,M,former,over,yes,0.12385764
50-54,M,former,under,no,0.10318716
50-54,M,former,under,yes,0.05989239
50-54,M,never,normal,no,0.13485723
50-54,M,never,normal,yes,0.07945171
50-54,M,never,obese,no,0.30357674
50-54,M,never,obese,yes,0.19443198
50-54,M,never,over,no,0.18528080
50-54,M,never,over,yes,0.11183697
50-54,M,never,under,no,0.09295977
50-54,M,never,under,yes,0.05369921
55-59,F,current,normal,no,0.14444719
55-59,F,current,normal,yes,0.08549102
55-59,F,current,obese,no,0.32071692
55-59,F,current,obese,yes,0.20724358
55-59,F,current,over,no,0.19763735
55-59,F,current,over,yes,0.12001702
55-59,F,current,under,no,0.09991441
55-59,F,current,under,yes,0.05790414
55-59,F,former,normal,no,0.14497416
55-59,F,former,normal,yes,0.08582449
55-59,F,former,obese,no,0.32164520
55-59,F,former,obese,yes,0.20794396
55-59,F,former,over,no,0.19831339
55-59,F,former,over,yes,0.12046741
55-59,F,former,under,no,0.10029796
55-59,F,former,under,yes,0.05813685
55-59,F,never,normal,no,0.13121101
55-59,F,never,normal,yes,0.07716991
55-59,F,never,obese,no,0.29693445
55-59,F,never,obese,yes,0.18952788
55-59,F,never,over,no,0.18055579
55-59,F,never,over,yes,0.10873495
55-59,F,never,under,no,0.09032808
55-59,F,never,under,yes,0.05211513
55-59,M,current,normal,no,0.17708565
55-59,M,current,normal,yes,0.10646581
55-59,M,current,obese,no,0.37569441
55-59,M,current,obese,yes,0.24992619
55-59,M,current,over,no,0.23893782
55-59,M,current,over,yes,0.14809087
55-59,M,current,under,no,0.12394828
55-59,M,current,under,yes,0.07264830
55-59,M,former,normal,no,0.17770696
55-59,M,former,normal,yes,0.10687152
55-59,M,former,obese,no,0.37669358
55-59,M,former,obese,yes,0.25072520
55-59,M,former,over,no,0.23971293
55-59,M,former,over,yes,0.14862882
55-59,M,former,under,no,0.12441134
55-59,M,former,under,yes,0.07293567
55-59,M,never,normal,no,0.16142299
55-59,M,never,normal,yes,0.09631817
55-59,M,never,obese,no,0.34993532
55-59,M,never,obese,yes,0.22961868
55-59,M,never,over,no,0.21926216
55-59,M,never,over,yes,0.13457333
55-59,M,never,under,no,0.11234383
55-59,M,never,under,yes,0.06548770
60-64,F,current,normal,no,0.17822333
60-64,F,current,normal,yes,0.10720890
60-64,F,current,obese,no,0.37752269
60-64,F,current,obese,yes,0.25138887
60-64,F,current,over,no,0.24035680
60-64,F,current,over,yes,0.14907602
60-64,F,current,under,no,0.12479635
60-64,F,current,under,yes,0.07317469
60-64,F,former,normal,no,0.17884776
60-64,F,former,normal,yes,0.10761711
60-64,F,former,obese,no,0.37852376
60-64,F,former,obese,yes,0.25219099
60-64,F,former,over,no,0.24113506
60-64,F,former,over,yes,0.14961692
60-64,F,former,under,no,0.12526213
60-64,F,former,under,yes,0.07346397
60-64,F,never,normal,no,0.16247991
60-64,F,never,normal,yes,0.09699812
60-64,F,never,obese,no,0.35170886
60-64,F,never,obese,yes,0.23099911
60-64,F,never,over,no,0.22059816
60-64,F,never,over,yes,0.13548285
60-64,F,never,under,no,0.11312276
60-64,F,never,under,yes,0.06596589
60-64,M,current,normal,no,0.21656183
60-64,M,current,normal,yes,0.13273866
60-64,M,current,obese,no,0.43598787
60-64,M,current,obese,yes,0.29972590
60-64,M,current,over,no,0.28738692
60-64,M,current,over,yes,0.18253722
60-64,M,current,under,no,0.15379278
60-64,M,current,under,yes,0.09142983
60-64,M,former,normal,no,0.21728507
60-64,M,former,normal,yes,0.13322956
60-64,M,former,obese,no,0.43703514
60-64,M,former,obese,yes,0.30062031
60-64,M,former,over,no,0.28825967
60-64,M,former,over,yes,0.18317341
60-64,M,former,under,no,0.15434769
60-64,M,former,under,yes,0.09178414
60-64,M,never,normal,no,0.19824878
60-64,M,never,normal,yes,0.12042435
60-64,M,never,obese,no,0.40880179
60-64,M,never,obese,yes,0.27686557
60-64,M,never,over,no,0.26511141
60-64,M,never,over,yes,0.16648994
60-64,M,never,under,no,0.13984020
60-64,M,never,under,yes,0.08258288
65-69,F,current,normal,no,0.18633688
65-69,F,current,normal,yes,0.11253225
65-69,F,current,obese,no,0.39039898
65-69,F,current,obese,yes,0.26177225
65-69,F,current,over,no,0.25043695
65-69,F,current,over,yes,0.15611473
65-69,F,current,under,no,0.13086499
65-69,F,current,under,yes,0.07695377
65-69,F,former,normal,no,0.18698328
65-69,F,former,normal,yes,0.11295817
65-69,F,former,obese,no,0.39141273
65-69,F,former,obese,yes,0.26259587
65-69,F,former,over,no,0.25123704
65-69,F,former,over,yes,0.15667647
65-69,F,former,under,no,0.13135002
65-69,F,former,under,yes,0.07725675
65-69,F,never,normal,no,0.17002504
65-69,F,never,normal,yes,0.10187233
65-69,F,never,obese,no,0.36421987
65-69,F,never,obese,yes,0.24081122
65-69,F,never,over,no,0.23010066
65-69,F,never,over,yes,0.14198685
65-69,F,never,under,no,0.11870072
65-69,F,never,under,yes,0.06940056
65-69,M,current,normal,no,0.22594086
65-69,M,current,normal,yes,0.13913212
65-69,M,current,obese,no,0.44941856
65-69,M,current,obese,yes,0.31127563
65-69,M,current,over,no,0.29866396
65-69,M,current,over,yes,0.19080157
65-69,M,current,under,no,0.16101205
65-69,M,current,under,yes,0.09605399
65-69,M,former,normal,no,0.22668637
65-69,M,former,normal,yes,0.13964286
65-69,M,former,obese,no,0.45047231
65-69,M,former,obese,yes,0.31218914
65-69,M,former,over,no,0.29955656
65-69,M,former,over,yes,0.19145981
65-69,M,former,under,no,0.16158804
65-69,M,former,under,yes,0.09642431
65-69,M,never,normal,no,0.20704429
65-69,M,never,normal,yes,0.12631107
65-69,M,never,obese,no,0.42202163
65-69,M,never,obese,yes,0.28789655
65-69,M,never,over,no,0.27585272
65-69,M,never,over,yes,0.17418256
65-69,M,never,under,no,0.14651793
65-69,M,never,under,yes,0.08680234
70-74,F,current,normal,no,0.20189296
70-74,F,current,normal,yes,0.12285719
70-74,F,current,obese,no,0.41431627
70-74,F,current,obese,yes,0.28144758
70-74,F,current,over,no,0.26957141
70-74,F,current,over,yes,0.16967389
70-74,F,current,under,no,0.14260169
70-74,F,current,under,yes,0.08432452
70-74,F,former,normal,no,0.20257988
70-74,F,former,normal,yes,0.12331675
70-74,F,former,obese,no,0.41534981
70-74,F,former,obese,yes,0.28230944
70-74,F,former,over,no,0.27041058
70-74,F,former,over,yes,0.17027458
70-74,F,former,under,no,0.14312306
70-74,F,former,under,yes,0.08465386
70-74,F,never,normal,no,0.18452818
70-74,F,never,normal,yes,0.11134191
70-74,F,never,obese,no,0.38755297
70-74,F,never,obese,yes,0.25946481
70-74,F,never,over,no,0.24819584
70-74,F,never,over,yes,0.15454366
70-74,F,never,under,no,0.12950903
70-74,F,never,under,yes,0.07610750
70-74,M,current,normal,no,0.24381250
70-74,M,current,normal,yes,0.15148104
70-74,M,current,obese,no,0.47413932
70-74,M,current,obese,yes,0.33299341
70-74,M,current,over,no,0.31991054
70-74,M,current,over,yes,0.20663572
70-74,M,current,under,no,0.17490840
70-74,M,current,under,yes,0.10504599
70-74,M,former,normal,no,0.24459834
70-74,M,former,normal,yes,0.15202911
70-74,M,former,obese,no,0.47520101
70-74,M,former,obese,yes,0.33393975
70-74,M,former,over,no,0.32083759
70-74,M,former,over,yes,0.20733459
70-74,M,former,under,no,0.17552371
70-74,M,former,under,yes,0.10544693
70-74,M,never,normal,no,0.22385350
70-74,M,never,normal,yes,0.13770407
70-74,M,never,obese,no,0.44645740
70-74,M,never,obese,yes,0.30871432
70-74,M,never,over,no,0.29616180
70-74,M,never,over,yes,0.18895960
